movie_result
,Unnamed: 0,Code,Movie,Audience,Open,Screen,watchGradeNm,genres,year,month,Point
221,224,20177266,나를 기억해,140700,2018-04-19,2,청소년관람불가,미스터리,2018,4,6.84
222,225,20174602,노무현입니다,1855489,2017-05-25,1,12세이상관람가,다큐멘터리,2017,5,8.96
223,226,20182221,스파키,35432,2018-04-12,1,전체관람가,애니메이션,2018,4,8.88
224,227,20153447,바람 바람 바람,1194157,2018-04-05,6,청소년관람불가,코미디,2018,4,6.6
225,228,20182021,번개맨과 신비의 섬,60535,2018-04-05,9,전체관람가,가족,2018,4,9.44
226,229,20175046,파파 오랑후탄,1447,2018-04-19,3,12세이상관람가,다큐멘터리,2018,4,8.94
227,230,20165045,머니백,53516,2018-04-12,5,15세이상관람가,액션,2018,4,6.78
228,231,20150976,신과함께-죄와 벌,14410754,2017-12-20,1,12세이상관람가,판타지,2017,12,7.98
229,232,20154908,7년의 밤,526880,2018-03-28,12,15세이상관람가,스릴러,2018,3,5.93
230,233,20168323,염력,990102,2018-01-31,18,15세이상관람가,드라마,2018,1,5.17
231,234,20150969,궁합,1339680,2018-02-28,1,12세이상관람가,코미디,2018,2,7.0
232,235,20178781,사라진 밤,1314308,2018-03-07,126,15세이상관람가,스릴러,2018,3,7.17
233,236,20172244,치즈인더트랩,228413,2018-03-14,62,15세이상관람가,멜로/로맨스,2018,3,5.7
234,237,20189525,젝스키스 에이틴,50038,2018-01-18,3,전체관람가,다큐멘터리,2018,1,9.28
235,238,20189663,게이트,99731,2018-02-28,20,15세이상관람가,범죄,2018,2,4.21
236,239,20168250,골든슬럼버,1386882,2018-02-14,13,15세이상관람가,범죄,2018,2,5.74
237,240,20177473,비밥바룰라,45779,2018-01-24,1,12세이상관람가,코미디,2018,1,9.09
238,241,20176121,흥부: 글로 세상을 바꾼 자,416137,2018-02-14,7,12세이상관람가,사극,2018,2,4.41
239,242,20179205,조선명탐정: 흡혈괴마의 비밀,2443282,2018-02-08,8,12세이상관람가,사극,2018,2,7.0
240,243,20181741,예스 평창!,595,2018-03-08,1,전체관람가,다큐멘터리,2018,3,7.5
241,244,20176104,그것만이 내 세상,3415953,2018-01-17,4,12세이상관람가,코미디,2018,1,8.94
242,245,20170590,1987,7229281,2017-12-27,62,15세이상관람가,드라마,2017,12,9.26
243,246,20189761,터닝메카드W: 반다인의 비밀 특별판,21220,2018-02-08,30,전체관람가,애니메이션,2018,2,6.41
244,247,20174846,뽀로로 극장판 공룡섬 대모험,826003,2017-12-07,2,전체관람가,애니메이션,2017,12,9.17
245,248,20168161,1급기밀,217956,2018-01-24,20,12세이상관람가,드라마,2018,1,8.86
246,249,20161681,미옥,239987,2017-11-09,3,청소년관람불가,범죄,2017,11,5.07
247,250,20170402,강철비,4449854,2017-12-14,37,15세이상관람가,액션,2017,12,8.43
248,251,20175830,돌아와요 부산항애(愛),5824,2018-01-17,82,15세이상관람가,범죄,2018,1,5.44
249,252,20172742,범죄도시,6880351,2017-10-03,10,청소년관람불가,범죄,2017,10,9.22
250,253,20173581,기억의 밤,1387499,2017-11-29,6,15세이상관람가,미스터리,2017,11,8.41
251,254,20010047,번지점프를 하다,4055,2001-02-02,1,15세관람가,드라마,2001,2,9.0
252,255,20176769,광인옥한흠,2681,2017-12-28,5,전체관람가,다큐멘터리,2017,12,9.17
253,256,20165748,꾼,4018035,2017-11-22,5,15세이상관람가,범죄,2017,11,7.86
