,Unnamed: 0,Code,Movie,Audience,Screen,genres,AgeRate,month,year,four_month,year_cat,Point,마동석,황정민,정만식,박성웅,라미란,송강호,오달수,성동일,조진웅,김희원
145,145,20142406,탐정 홍길동: 사라진 마을,1430.96,1,드라마,청소년관람가,5,2016,2,31,7.91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
146,146,20137048,국제시장,14262.976,1,드라마,청소년관람가,12,2014,1,29,9.05,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
147,147,20176103,돈,3388.756,20,범죄,청소년관람가,3,2019,2,34,7.64,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
148,148,20175407,우상,183.74400000000003,2,스릴러,청소년관람가,3,2019,2,34,4.87,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
149,149,20156564,부산행,11567.318000000001,14,액션,청소년관람가,7,2016,3,31,8.04,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
150,150,20177552,국가부도의 날,3755.133,1,드라마,청소년관람가,11,2018,4,33,8.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
151,151,20197846,악질경찰,260.98900000000003,13,범죄,18세이상관람가,3,2019,2,34,6.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
152,152,20166301,썬키스 패밀리,31.283,20,가족,청소년관람가,3,2019,2,34,6.86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
153,153,20177539,사바하,2398.348,5,미스터리,청소년관람가,2,2019,1,34,7.28,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
154,154,20186324,언더독,193.83700000000002,4,애니메이션,전체관람가,1,2019,1,34,9.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
155,155,20176442,자전차왕 엄복동,168.88400000000001,68,드라마,청소년관람가,2,2019,1,34,4.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
156,156,20185478,극장판 헬로카봇: 옴파로스 섬의 비밀,574.302,12,애니메이션,전체관람가,1,2019,1,34,8.74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
